127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 200, 0.001828
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001411
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/js/share.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 200, 0.000979
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 200, 0.000489
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 200, 0.000852
127.0.0.1, 2013-06-23 18:53:40, GET, /baystreet/static/images/favicon.ico, HTTP/1.1, 200, 0.000286
127.0.0.1, 2013-06-23 18:53:51, GET, /baystreet/default/schedule, HTTP/1.1, 404, 0.009836
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.019617
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000274
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000251
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000511
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.000227
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.000217
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000348
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000873
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.003888
127.0.0.1, 2013-06-23 18:54:12, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.000602
